date	SP500	NIKKEI 225 STOCK AVERAGE - PRICE INDEX	FTSE100	DAX	CAC40
19700101	92.06	2548.5	313.16	622.38	334.12
19700102	93.00	2548.5	316.43	629.11	337.29
19700105	93.46	2633.84	319.23	628.48	339.76
19700106	92.82	2637.41	318.09	622.38	342.94
19700107	93.63	2625.12	314.79	623.39	342.23
19700108	93.68	2503.19	315.56	623.83	342.59
19700109	92.40	2567.51	316.81	618.70	341.17
19700112	91.70	2528.63	319.87	612.90	341.17
19700113	91.79	2507.76	322.32	607.28	339.76
19700114	91.65	2501.47	325.25	602.11	341.88
19700115	91.68	2501.47	323.63	591.70	344.00
19700116	90.92	2504.33	324.42	581.77	345.06
19700119	89.65	2517.77	321.79	579.80	345.06
19700120	89.83	2514.2	320.40	580.76	344.35
19700121	89.91	2524.06	321.04	590.17	345.41
19700122	89.95	2529.06	320.53	592.93	349.29
19700123	89.07	2525.35	318.87	590.17	351.76
19700126	88.17	2524.77	318.24	590.84	352.11
19700127	87.62	2520.06	318.11	592.55	350.35
19700128	86.79	2521.2	318.28	593.33	353.17
19700129	85.69	2519.91	317.09	584.52	353.17
19700130	85.02	2495.19	315.45	582.18	348.23
19700202	85.75	2498.04	313.60	574.55	346.47
19700203	86.77	2477.32	312.94	571.65	347.17
19700204	86.24	2494.04	314.84	575.97	351.05
19700205	85.90	2480.03	312.11	576.23	349.64
19700206	86.33	2474.17	311.99	583.55	347.52
19700209	87.01	2484.46	313.03	585.49	347.52
19700210	86.10	2487.04	315.39	585.49	347.52
19700211	86.94	2487.04	313.45	580.99	344.00
19700212	86.73	2487.32	314.24	582.51	343.29
19700213	86.54	2477.32	313.60	580.39	342.94
19700216	86.47	2467.31	315.05	576.38	342.59
19700217	86.37	2464.74	313.28	576.41	340.82
19700218	87.44	2480.89	311.26	571.32	339.06
19700219	87.76	2494.76	310.97	576.49	339.06
19700220	88.03	2492.61	309.50	576.04	340.47
19700223	88.03	2522.49	308.03	577.42	342.23
19700224	87.99	2530.49	305.89	575.11	343.64
19700225	89.35	2540.07	304.99	569.79	342.94
19700226	88.90	2547.36	303.44	567.63	340.12
19700227	89.50	2549.5	301.53	564.55	338.35
19700302	89.71	2560.22	303.55	558.60	337.29
19700303	90.23	2560.94	303.44	549.37	336.23
19700304	90.04	2584.81	303.42	553.39	335.88
19700305	90.00	2587.24	302.83	558.71	334.82
19700306	89.44	2605.39	301.89	561.27	335.18
19700309	88.51	2605.54	302.17	551.05	336.23
19700310	88.75	2610.68	303.87	555.10	335.53
19700311	88.69	2605.39	306.38	560.01	333.41
19700312	88.33	2585.24	307.63	568.53	333.06
19700313	87.86	2589.81	307.63	575.26	333.41
19700316	86.91	2591.53	304.65	569.46	333.06
19700317	87.29	2601.96	301.87	570.13	331.30
19700318	87.54	2615.11	303.57	569.42	330.94
19700319	87.42	2621.4	303.93	563.62	332.71
19700320	87.06	2616.97	302.25	560.94	333.06
19700323	86.99	2615.26	299.30	557.44	332.71
19700324	87.98	2609.54	299.30	559.19	329.18
19700325	89.77	2606.82	301.57	560.38	330.24
19700326	89.22	2624.4	306.29	567.00	333.06
19700327	89.22	2624.4	306.29	567.00	333.06
19700330	89.63	2624.4	306.29	567.00	333.06
19700331	89.63	2650.42	306.10	572.66	333.06
19700401	90.07	2649.13	304.38	573.92	332.00
19700402	89.79	2648.85	305.06	574.63	331.65
19700403	89.39	2629.26	306.74	571.76	333.41
19700406	88.76	2651.85	304.06	572.77	333.41
19700407	88.52	2647.56	302.64	579.61	333.76
19700408	88.49	2654.42	299.49	582.66	334.47
19700409	88.53	2642.99	299.91	581.25	334.12
19700410	88.24	2644.42	299.19	580.47	332.71
19700413	87.64	2639.41	303.42	575.89	331.30
19700414	86.89	2637.7	305.14	567.15	330.59
19700415	86.73	2631.84	304.44	574.48	330.94
19700416	85.88	2639.98	301.36	571.13	330.24
19700417	85.67	2608.39	299.89	561.76	329.18
19700420	85.83	2597.53	296.37	562.32	327.06
19700421	85.38	2596.82	296.79	566.93	325.30
19700422	84.27	2570.09	295.18	562.17	325.65
19700423	83.04	2550.5	290.73	558.26	329.18
19700424	82.77	2552.93	291.41	550.86	326.71
19700427	81.46	2523.06	289.20	540.82	321.77
19700428	80.27	2461.31	281.57	532.60	318.95
19700429	81.87	2461.31	275.15	524.12	316.12
19700430	81.52	2277.49	274.47	532.90	316.83
19700501	81.44	2288.35	275.98	532.90	316.83
19700504	79.37	2356.25	276.17	530.81	316.12
19700505	78.60	2356.25	274.45	532.75	311.54
19700506	79.47	2352.1	279.91	537.51	313.30
19700507	79.83	2367.82	276.54	537.51	313.30
19700508	79.44	2356.39	277.36	534.79	316.12
19700511	78.60	2316.37	276.51	527.32	316.12
19700512	77.85	2319.51	274.50	520.99	315.42
19700513	76.53	2275.2	269.84	510.99	315.42
19700514	75.44	2230.46	263.34	502.32	311.18
19700515	76.90	2197.44	259.66	494.03	307.66
19700518	76.96	2221.45	262.66	494.03	307.66
19700519	75.46	2157.41	262.64	491.24	310.48
19700520	73.52	2173.71	257.75	479.82	306.95
19700521	72.16	2169.14	254.73	467.81	302.01
19700522	72.25	2172.85	255.13	467.18	300.60
19700525	70.25	2172.85	255.13	459.66	302.36
19700526	69.29	2138.4	244.00	445.87	297.42
19700527	72.77	2127.11	242.87	444.60	294.96
19700528	74.61	2187.43	251.60	444.60	303.07
19700529	76.55	2209.59	255.03	485.85	308.36
19700601	77.84	2249.18	262.53	473.80	311.89
19700602	77.84	2259.05	261.62	487.41	312.24
